ID,smiles,pat,pat_enc,par3,umap1,umap2,pca1,pca2
1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,pc3,0,0,7.8222914,5.061347,11.276300099068662,-0.5112048772998956
2,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.5173316,5.3580823,8.853686157623697,0.7179733972638394
3,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.409232,5.5936923,7.129903238924541,0.9457559056371896
4,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.7125235,5.224576,10.830797317473468,-1.4251472644782637
5,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,6.963905,5.6829734,5.14846485430834,1.440105662680008
6,C1C2CC3CC1CC(P(C14CC5CC(CC(C5)C1)C4)C14CC5CC(CC(C5)C1)C4)(C2)C3,pc3,0,0,3.3629014,5.0117707,2.141281736073368,10.997790837970149
7,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,1,7.9408517,6.4336267,6.455143321074627,-0.4025919791735509
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,pc3,0,0,2.7342584,5.2156653,-6.09418923354941,10.955078986420707
9,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,pc3,0,1,5.2757573,8.545135,0.6881248834066207,6.17527137692167
10,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,pc3,0,0,3.2567744,5.64373,1.0751130339069446,5.853489272913001
11,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,pc3,0,0,2.814801,6.1250615,-2.06095982595973,4.26960976657385
12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,pc3,0,0,2.917976,5.148084,-3.63534128866188,10.525301714537836
13,CC(C)(C)P(c1ccccc1)c1ccccc1,pc3,0,0,3.8862884,8.831663,-3.3998615036055195,5.401713974988693
14,CP(C(C)(C)C)C(C)(C)C,pc3,0,0,1.2225649,6.2693763,-9.219972455849756,7.586444507912136
